"id","title","level","parent_id"
"1","Unkown","0",""
"2","Arts","0",""
"3","Business","0",""
"4","Comedy","0",""
"5","Education","0",""
"6","Games & Hobbies","0",""
"7","Government & Organizations","0",""
"8","Health","0",""
"9","Kids & Family","0",""
"10","Music","0",""
"11","News & Politics","0",""
"12","Religion & Spirituality","0",""
"13","Science & Medicine","0",""
"14","Society & Culture","0",""
"15","Sports & Recreation","0",""
"16","Technology","0",""
"17","TV & Film","0",""
"18","Design","1","2"
"19","Fashion & Beauty","1","2"
"20","Food","1","2"
"21","Literature","1","2"
"22","Performing Arts","1","2"
"23","Visual Arts","1","2"
"24","Business News","1","3"
"25","Careers","1","3"
"26","Investing","1","3"
"27","Management & Marketing","1","3"
"28","Shopping","1","3"
"29","Education","1","5"
"30","Education Technology","1","5"
"31","Higher Education","1","5"
"32","K-12","1","5"
"33","Language Courses","1","5"
"34","Training","1","5"
"35","Automotive","1","6"
"36","Aviation","1","6"
"37","Hobbies","1","6"
"38","Other Games","1","6"
"39","Video Games","1","6"
"40","Local","1","7"
"41","National","1","7"
"42","Non-Profit","1","7"
"43","Regional","1","7"
"44","Alternative Health","1","8"
"45","Fitness & Nutrition","1","8"
"46","Self-Help","1","8"
"47","Sexuality","1","8"
"48","Buddhism","1","12"
"49","Christianity","1","12"
"50","Hinduism","1","12"
"51","Islam","1","12"
"52","Judaism","1","12"
"53","Other","1","12"
"54","Spirituality","1","12"
"55","Medicine","1","13"
"56","Natural Sciences","1","13"
"57","Social Sciences","1","13"
"58","History","1","14"
"59","Personal Journals","1","14"
"60","Philosophy","1","14"
"61","Places & Travel","1","14"
"62","Amateur","1","15"
"63","College & High School","1","15"
"64","Outdoor","1","15"
"65","Professional","1","15"
"66","Gadgets","1","16"
"67","Tech News","1","16"
"68","Podcasting","1","16"
"69","Software How-To","1","16"
